artist,duration,album,genre,title,year,,
Sandy Posey,125.36118,One Fine Day,ballad,When Will I Be Loved,1990,,
Esa Pakarinen,152.58077,Esa Pakarinen,oldies,Vanhapoika-Severi,1990,,
Otis Spann,134.89587,Blues Masters Vol. 10,piano blues,Spann's Boogie,1990,,
Otis Spann,160.83546,Windy City Blues,piano blues,Must Have Been The Devil,1990,,
Jim Reeves,145.13587,RCA  Country Legends,country gospel,I Guess I'm Crazy,1990,,
The Roches,329.45587,We Three Kings,singer-songwriter,We Three Kings,1990,,
The Field Mice,335.46404,Coastal,twee pop,Below The Stars,1990,,
Carl Smith,152.42404,Hey Joe,honky tonk,Loose Talk,1990,,
Slim Whitman,195.91791,Country Lovers. Vol. 3,folk-pop,Indian Love Call,1990,,
Jesus Jones,201.16853,Doubt,dance rock,Nothing To Hold Me,1990,,
Jane's Addiction,214.54322,Ritual De Lo Habitual,alternative metal,Ain't No Right ( LP Version ),1990,,
Jay & The Americans,149.89016,Come A Little Bit Closer,soft rock,Let's Lock The Door (And Throw Away The Key),1990,,
Firehouse,285.3873,Firehouse,glam metal,Rock On The Radio,1990,,
Iggy Pop,221.43955,Brick By Brick,hard rock,Main Street Eyes,1990,,
Mariah Carey,236.5122,Mariah Carey Mtv Unplugged Ep,dance pop,Someday,1990,,
Los Fabulosos Cadillacs,137.06404,Los Fabulosos Cadillacs - Vol. V,ska,Electrasonic V,1990,,
Fenton Robinson,263.73179,Born With The Blues Double,texas blues,Somebody Loan Me A Dime,1990,,
Big Dee Irwin,156.02893,Christmas With The Stars,northern soul,Swinging On A Star,1990,,
Kurtis Blow,220.83873,The Best Of Kurtis Blow,pop rap,I'm Chillin,1990,,
Charley Patton,154.87955,Complete Recordings_ CD C,delta blues,Circle Round The Moon,1990,,
Kitty Wells,165.61587,Backline Volume 56,honky tonk,Makin' Believe,1990,,
Orbital,192.20853,Halcyon - The Platinum Collection,techno,Chime (edit),1990,,
Inspiral Carpets,283.32363,Cool As,indie rock,Commercial Reign,1990,,
Vangelis,297.66485,The City,progressive rock,Twilight,1990,,
Firehouse,258.2722,Good Acoustics,glam metal,Don't Treat Me Bad,1990,,
Darden Smith,226.32444,After All This Time: The Best Of Darden Smith,blues-rock,Midnight Train,1990,,
Information Society,211.9571,Hack,freestyle,Hack 1/Charlie X,1990,,
Zebra,299.93751,Zebra Live,heavy metal,The Ocean (Live Version),1990,,
Phil Collins,174.23628,Serious Hits... Live!,soft rock,You Can't Hurry Love (Live),1990,,
Bill Douglas,201.9522,Universe One,chamber jazz,Highland,1990,,
Tam Tam Go!,223.97342,The Platinum Collection,pop rock,Better Ways,1990,,
EPMD,222.14485,Business As Usual,hip hop,I'm Mad,1990,,
Minnie Riperton,197.69424,Les Fleurs & Other Favorites (Digitally Remastered),soul jazz,Les Fleurs,1990,,
Darden Smith,207.41179,Extra Extra,blues-rock,Frankie & Sue,1990,,
EPMD,188.31628,Business As Usual,hip hop,For My People,1990,,
Daryl Hall & John Oates,276.6624,Change Of Season,pop rock,Only Love,1990,,
Teena Marie,328.56771,Ivory,disco,How Can You Resist It,1990,,
Jawoll,235.31057,Hier ist Berlin! - Dieter Thomas Heck prA$?s.: Die NDW Hits,new wave,Rendezvous - Ich hab' Dich seit langem nicht gesehen,1990,,
Jane's Addiction,355.63057,Ritual De Lo Habitual,alternative metal,Obvious ( LP Version ),1990,,
Vangelis,573.67465,The City,progressive rock,Procession,1990,,
Jay & The Americans,173.58322,Come A Little Bit Closer,soft rock,Tomorrow,1990,,
The Vaughan Brothers,Stevie Ray Vaughan,Jimmy Vaughan,196.57098,The Essential Stevie Ray Vaughan And Double Trouble,blues-rock,Long Way From Home,1990
Fast Eddie,278.54322,Yo Yo Get Funky (2009 Remixes),hip house,Yo Yo Get Funky,1990,,
Jim Reeves,157.6224,RCA  Country Legends,country gospel,Mexican Joe,1990,,
Happy Mondays,200.80281,Pills 'n' Thrills And Bellyaches,alternative dance,Grandbag's Funeral,1990,,
George Michael,281.33832,Ladies And Gentlemen... The Best Of George Michael,rock,Praying For Time,1990,,
Soda Stereo,246.69995,CanciA3n Animal,rock,Entre CanAbales,1990,,
Del Tha Funkee Homosapien,90.90567,I Wish My Brother George Was Here,hip hop,Ya Lil' Crumbsnatchers (LP Version),1991,,
Gabinete Caligari,169.69098,Lo Mejor De Gabinete Caligari,pop rock,Viaje Al Averno,1991,,
The Ronettes,177.81506,The Best Of The Ronettes,brill building pop,Born To Be Together,1991,,
Fudge Tunnel,325.72036,Hate Songs in E Minor,sludge metal,Spanish Fly,1991,,
PATSY CLINE & WILLIE NELSON,175.41179,Rhinestone Cowboy,country rock,Life's Railway To Heaven,1991,,
Blind Boy Fuller,162.29832,Sweet Honey Hole,country blues,Big Leg Woman Gets My Pay,1991,,
Cocoa Tea,162.35057,Weh Dem A Go Do...Can't Stop Cocoa Tea,dancehall,Can't Stop Cocoa Tea,1991,,
Maxi Priest,301.81832,Best Of Maxi Priest,lovers rock,Groovin' In The Midnight,1991,,
Guns N' Roses,524.87791,Use Your Illusion II,heavy metal,Locomotive (Complicity),1991,,
Charlie McCoy,282.53995,HarpinA' The Blues,country gospel,Night Life,1991,,
Charlie Peacock,295.20934,Love Life,ccm,Forgiveness (Love Life Album Version),1991,,
Don Francisco,280.73751,Signature Songs,ccm,Give Your Heart a Home,1991,,
Tad,215.43138,8-Way Santa,grunge,Stumblin' Man (Album),1991,,
Kathy Mattea,156.62975,Songs Of The Civil War,bluegrass,The Southern Soldier Boy,1991,,
Capleton,223.39873,Lotion Man,dancehall,When Me A Move,1991,,
Charlie McCoy,197.79873,HarpinA' The Blues,country gospel,Columbus Stockade Blues,1991,,
Blind Willie Johnson,187.16689,The Complete Blind Willie Johnson,texas blues,You'll Need Somebody On Your Bond,1991,,
War Babies,285.83138,War Babies,glam metal,Cry Yourself To Sleep,1991,,
fIREHOSE,167.3922,Flyin' The Flannel,alternative rock,Towin' The Line,1991,,
Dinosaur Jr.,271.12444,Whatever's Cool With Me,indie rock,Whatever's Cool With Me (LP Version),1991,,
Bob Marley,173.24363,Keep on Moving,reggae,Lively Up Yourself,1991,,
The Fabulous Thunderbirds,287.65995,WALK THAT WALK_ TALK THAT TALK,blues-rock,When I Get Home,1991,,
Cliff Edwards/Disney Studio Chorus,193.67138,Julie Andrews Selects Her Favourite Disney Songs,vocal jazz,When You Wish Upon A Star,1991,,
Seal,368.06485,The Beginning,dance pop,The Beginning (Giro E Giro Mix),1991,,
Steel Pulse,237.45261,Victims,roots reggae,We Can Do It,1991,,
Red Hot Chili Peppers,193.43628,Blood Sugar Sex Magik,rap rock,The Greeting Song (Album Version),1991,,
Die Fantastischen Vier,149.99465,Jetzt geht's ab - JubilA$?ums-Edition,pop rap,BAPse,1991,,
Bob Wills,107.93751,Bob Wills Sings And Plays,western swing,South,1991,,
JoAPSo Gilberto,312.05832,Joao,brazilian jazz,Eu E Meu Coracao,1991,,
Jean Ferret,172.61669,CABU - From Paris With Jazz: Guitar,gypsy jazz,Les Deux Guitares,1991,,
Dinosaur Jr,298.57914,Green Mind [Digital Version] [with Bonus Tracks],indie rock,Green Mind,1991,,
Bruno Sanfilippo,291082,Sons of the Light,chill-out,The Flight of the serpentarius,1991,,
Memphis Minnie,180.29669,Queen Of Country Blues,country blues,My Butcher Man,1991,,
Maxi Priest,292.25751,You're Safe,lovers rock,Caution,1991,,
Blind Willie Johnson,187.14077,Sweeter As the Years Go By,texas blues,Church_ I'm Fully Saved Today,1991,,
J.B.Lenoir,169.22077,I Feel So Good_ The 1951-54 J.O.B.Sessions,chicago blues,Let's Roll (Take 1),1991,,
Flamin' Groovies,199.49669,Step Up,power pop,Step Up,1991,,
Porcupine Tree,162.06322,On The Sunday Of Life,experimental rock,Music For The Head,1991,,
Moraes Moreira,280.65914,BahiAPSo Com H,latin jazz,Banho De Amor,1991,,
Charlie Peacock,291.21261,Love Life,ccm,After Lovin You (Love Life Album Version),1991,,
Bob Wills,137.42975,Backline Volume 4,western swing,Bubbles in My Beer,1991,,
Jean-Jacques Goldman,327.65342,IntA(c)grale 81-91,chanson,Comme Toi (Live),1991,,
Kool Moe Dee,397.5571,The Greatest Hits,hip hop,Death Blow,1991,,
Aerosmith,255.65995,Pandora's Box (Display Box),blues-rock,Milkcow Blues,1991,,
Teenage Fanclub,274.70322,Bandwagonesque,power pop,I Don't Know,1991,,
Del Tha Funkee Homosapien,257.69751,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,hip hop,Mistadobalina,1991,,
Red Hot Chili Peppers,265.63873,Blood Sugar Sex Magik,rap rock,Naked In The Rain (Album Version),1991,,
Los AutA(c)nticos Decadentes,210.02404,Vinyl Replica: Supersonico,cumbia,El Vino Triste,1991,,
CA3mplices,307.56526,Grandes Exitos: Complicidad,pop rock,Ojos Gitanos,1991,,
Soundgarden,415.81669,Badmotorfinger,alternative metal,Slaves & Bulldozers,1991,,
Patrick Bruel,263.94077,Seul Ou presque,cabaret,L'Appart,1991,,
Rick Astley,317.83138,Free,dance pop,The Bottom Line,1991,,
Simply Red,303.96036,Stars [Expanded],pop rock,Thrill Me,1991,,
The Dylans,410.98404,The Dylans,indie pop,I Hope The Weather Stays Fine (Remix),1991,,
fIREHOSE,78.05342,Flyin' The Flannel,alternative rock,Tien An Man Dream Again,1991,,
The Prodigy,265.76934,What Evil Lurks,hardcore techno,What Evil Lurks,1991,,
Marlene Dietrich,158.45832,Marlene Dietrich,chanson,Laziest Gal In Town,1991,,
Don Francisco,395.15383,Signature Songs,ccm,Gotta Tell Somebody,1991,,
Mikey Dread,184.47628,Pave the Way,roots reggae,Quest for Oneness,1991,,
Rodney O & Joe Cooley,172.01587,Get Ready To Roll,miami bass,Nutty Block,1991,,
Fudge Tunnel,235.7024,In A Word,sludge metal,Gut Rot,1991,,
Fudge Tunnel,124.94322,In A Word,sludge metal,Bed Crumbs,1991,,
Mudhoney,166.32118,Live At El Sol,grunge,The Money Will Roll Right In,1991,,
Rickie Lee Jones,291.97016,Pop Pop,folk rock,Second Time Around,1991,,
Dexys Midnight Runners,245.36771,The Projected Passion Revue,folk rock,Breaking Down The Walls Of Heartache,1991,,
Chelsea,145.55383,Punk In London,pop rock,Right to Work (Live),1991,,
Simple Minds,261.8771,Real Life,new wave,See The Lights (2002 Digital Remaster),1991,,
Marlene Dietrich,190.04036,Marlene Dietrich,chanson,When Love Dies,1991,,
Charlie Byrd,229.32853,Byrd By The Sea,bossa nova,It Don't Mean A Thing (If It Ain't Got That Swing),1991,,
Burning Spear,217.93914,Jah Kingdom,roots reggae,Tumble Down,1991,,
Little Willie John,147.25179,Rhythm & Blues Vol 9,soul jazz,Leave My Kitten Alone,1991,,
Jean-Jacques Goldman,501.05424,Live 98 En Passant,chanson,LA -Bas,1991,,
At The Gates,286.04036,Gardens Of Grief,death metal,City Of Screaming Statues,1991,,
Boyz II Men,245.75955,Cooleyhighharmony - Expanded Edition,new jack swing,Motownphilly,1991,,
HA(c)roes del Silencio,198.89587,Senda '91,hard rock,El Mar No Cesa (Live),1991,,
Temple Of The Dog,243.9571,Temple Of The Dog,grunge,Hunger Strike,1991,,
DJ Quik,205.58322,The Best of DJ Quik - Da Finale,gangster rap,Born and Raised In Compton,1991,,
Britny Fox,285.02159,Bite Down Hard,glam metal,Over And Out [Album Version],1991,,
Fehlfarben,330.65751,Die Platte Des Himmlischen Friedens,new wave,The Tarnished Angels (remastered),1991,,
Don Gibson,169.63873,Lonesome Number One,country rock,I Love No One But You,1991,,
Seguridad Social,278.38649,Que No Se Extinga La Llama!,rumba,Un Pensamiento,1991,,
A Tribe Called Quest,251.14077,The Best Of,jazz rap,Scenario,1991,,
Carl Cox Vs Yousef,357.82485,Dave Pearce Best of the Dance Years 1988 - 1992,tech house,I Want You (Forever),1991,,
Bessie Smith,187.03628,Queen Of The Blues: Volume 1 B,chicago blues,Chicago Bound Blues,1991,,
Natalie Cole,154.61832,Unforgettable: With Love,vocal jazz,Don't Get Around Much Anymore,1991,,
BeauSoleil,268.30322,Cajun Conja,zydeco,'Ti Monde (LP Version),1991,,
Gang Starr,84.63628,Step In The Arena,jazz rap,Say Your Prayers,1991,,
Falco,271.09832,Donauinsel Live,dance pop,Junge RAPmer,1991,,
Francis Dunnery,216.37179,Welcome To The Wild Country,singer-songwriter,The Possibilities of Loving You,1991,,
Be Bop Deluxe,221.93587,Live! In The Air Age,art rock,Sister Seagull (Live),1991,,
Blind Willie Johnson,198.00771,The Soul of a Man,texas blues,John the Revelator,1991,,
Peggy Lee,200.6722,Happy Day Collection - Fonzie's Women,vocal jazz,Mr. Wonderful,1992,,
Eyehategod,247.01342,10 Years Of Abuse And Still Broke,doom metal,Left To Starve,1992,,
Papa Wemba,265.76934,Molokai,soukous,Zero,1992,,
Spinal Tap,235.41506,Break Like The Wind,parody,The Majesty Of Rock,1992,,
L7,163.13424,Bricks Are Heavy,grunge,This Ain't Pleasure,1992,,
Wet Wet Wet,257.25342,All I Want,blue-eyed soul,Goodnight Girl,1992,,
Audio Adrenaline,219.11465,Audio Adrenaline,ccm,My God  (Audio Adrenaline Album Version),1992,,
EPMD,291.16036,Def Jam 25_ Vol 16 - Lifer's Picks: 298 to 160 to 825,hip hop,Head Banger,1992,,
Lole y Manuel,141.66159,Aljarafe,flamenco,Aljarafe,1992,,
Suicidal Tendencies,312.55465,The Art Of Rebellion,hardcore punk,Monopoly On Sorrow,1992,,
Annie Lennox,385.01832,Dance Vault Mixes - Little Bird (1st Set of Mixes),soft rock,Little Bird,1992,,
Super Cat,229.66812,Don Dada,dancehall,Oh It's You,1992,,
W.A.S.P.,276.71465,The Crimson Idol,heavy metal,Phantoms In The Mirror,1992,,
Blue Rodeo,280.65914,Lost Together,country rock,Fools Like You,1992,,
Rudolph Valentino,184.73751,Movie Stars (CD 2),ballad,Kashmiri Love Song,1992,,
Ray Barretto,335.22893,A Man And His Music,latin jazz,Guarare,1992,,
Tom Barabas,743.36608,Sedona Suite,meditation,Sedona Suite (Sunrise/Prayer/Joy/Sunset),1992,,
The Jeff Healey Band,283.03628,Legacy:Volume One,blues-rock,It Could All Get Blown Away,1992,,
Gene Autry,155.53261,Back In The Saddle Again,classic country,Blueberry Hill,1992,,
Billie Jo Spears,133.32853,20 Of Her Best,classic country,It Makes No Difference Now,1992,,
Alice In Chains,329.37751,Jar of flies / Facelift / Dirt,grunge,Sickman,1992,,
Firehouse,278.12526,Hold Your Fire,glam metal,Talk Of The Town,1992,,
Suicidal Tendencies,269.81832,The Art Of Rebellion,hardcore punk,It's Going Down,1992,,
Alice In Chains,267.36281,Music Bank,grunge,Brother,1992,,
Michael Gettel,221.90975,Places In Time,chamber jazz,Memory In The Snow,1992,,
Michael Gettel,232.77669,Places In Time,chamber jazz,Through Bucky's Eyes,1992,,
C.J. Chenier,189.33506,Zydeco Champs,zydeco,Banana Man,1992,,
Jaydee,265.84771,Optimo presents In Order To Edit,vocal house,Plastic Dreams,1992,,
Will Ackerman,384.60036,The Opening Of Doors,chamber jazz,A Movie Of A Placid Lake On A Moonless Night in September,1992,,
Gary Moore,304.95302,Still Got The Blues/After Hours/Blues Alive,blues-rock,Nothing's The Same,1992,,
Tom Cochrane,320.44363,Mad Mad World,heartland rock,Washed Away,1992,,
Shamen,337.71057,Boss Drum (album),tech house,Scientas,1992,,
Sunscreem,590.15791,Renaissance The Classics,progressive house,Perfect Motion,1992,,
Wendy Moten,230.37342,Wendy Moten,ballad,Make This Love Last,1992,,
Sierra Maestra,295.99302,Criolla KarabalA,charanga,Abandonada / Blancas azucenas,1992,,
Will Ackerman,194.19383,The Opening Of Doors,chamber jazz,A Movie Of A Placid Lake On A Moonless Night In September - Reprise,1992,,
Deep Forest,397.76608,Made In Japan,chill-out,Hunting,1992,,
Pete Rock & C.L. Smooth,286.69342,Mecca And The Soul Brother,jazz rap,They Reminisce Over You (Single Version),1992,,
Terry Riley,349.20444,Lisbon Concert,free improvisation,Peace Dance,1992,,
L.A. Guns,215.82322,Hollywood Vampires,heavy metal,Some Lie For Love,1992,,
Edith Lefel,246.30812,"MA""ci",zouk,L'a fAate komine,1992,,
The Jason Bonham Band,290.19383,MAD HATTER,hard rock,Bing,1992,,
W.A.S.P.,426.78812,The Crimson Idol,heavy metal,When The Levee Breaks,1992,,
Alice In Chains,262.47791,Live,grunge,Angry Chair,1992,,
Arc Angels,344.05832,Arc Angels,blues-rock,Sent By Angels,1992,,
T.G. Sheppard,210.75546,The Very Best Of,country rock,You're My First Lady,1992,,
Eliane Elias,326.42567,Fantasia,brazilian jazz,No More Blues (Chega de Saudade),1992,,
Bad Religion,138.52689,Generator,hardcore punk,Fertile Crescent (bonus track),1992,,
The Jason Bonham Band,260.51873,MAD HATTER,hard rock,Hold On,1992,,
Fontella Bass,204.35546,Very Best Of,northern soul,You've Lost That Lovin' Feelin',1992,,
Alceu ValenASSa,205.87057,2 Em 1,brazilian pop music,Sete Desejos,1992,,
Stevie Ray Vaughan,248.78975,Greatest Hits,texas blues,Crossfire,1992,,
99 Posse,351.34649,Rafaniello / Salario Garantito,reggae,Rafaniello,1992,,
Falco,252.96934,Nachtflug,dance pop,Monarchy Now,1992,,
Cracker,380.86485,Cracker,roots rock,Dr. Bernice,1992,,
Michael Gettel,452.25751,Places In Time,chamber jazz,River Run,1992,,
Alice In Chains,230.60853,Music Bank,grunge,God Smack,1992,,
Shamen,292.28363,Boss Drum (album),tech house,Phorever People,1992,,
Alice In Chains,223.26812,Unplugged,grunge,Would?,1992,,
Tom Barabas,276.79302,Tom Barabas Live,meditation,More Than Words,1992,,
Agnostic Front,179.09506,Live At CBGB's,hardcore punk,Undertow,1992,,
Redman,185.83465,Whut? The Album,hip hop,Jam 4 U,1992,,
Super Cat,215.66649,Don Dada,dancehall,Them No Care,1992,,
The Disposable Heroes Of Hiphoprisy,241.52771,Hypocrisy Is The Greatest Luxury,hip hop,Music And Politics,1992,,
Gang Starr Featuring Jeru The Damaja And Lil Dap,244.32281,Daily Operation,jazz rap,I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap),1992,,
Mau Mau,255.55546,Sauta Rabel,progressive house,Neir,1992,,
Arc Angels,386.79465,Arc Angels,blues-rock,See What Tomorrow Brings,1992,,
Vilma Palma e Vampiros,344.86812,Vilma Palma e Vampiros_ grandes exitos,cumbia,Bye Bye,1992,,
The Chieftains,Colin James,218.33098,Another Country,irish folk,CAonla/The Friar's Breeches,1992,
Gary Moore,306.72934,After Hours,blues-rock,Nothing's The Same (2002 Digital Remaster),1992,,
Mighty Mighty Bosstones,142.73261,More Noise And Other Disturbances,ska punk,Guns And The Young,1992,,
Sophie B. Hawkins,316.76036,The Best Of Sophie B. Hawkins,ballad,I Want You,1992,,
Carpenters,134.60853,Christmas Collection,soft rock,An Old Fashioned Christmas,1992,,
99 Posse,369.26649,Rafaniello / Salario Garantito,reggae,Salario Garantito (Versione Strumentale),1992,,
Bob Marley & The Wailers,307.61751,Kaya,reggae,Smile Jamaica,1992,,
Mighty Mighty Bosstones,211.33016,More Noise And Other Disturbances,ska punk,They Came To Boston,1992,,
Big John Greer,145.73669,I'm The Fat Man,jump blues,Bottle It Up And Go,1992,,
Marlene Dietrich,159.34649,The Essential Marlene Dietrich,chanson,Auf Der Mundharmonika,1992,,
Izzy Stradlin And The Ju Ju Hounds,267.65016,Izzy Stradlin And The Ju Ju Hounds,blues-rock,Train Tracks,1992,,
Richard Galliano,196.25751,Spleen,tango,Honey Fingers,1992,,
The B-52's,313.20771,Good Stuff,dance rock,Tell It Like It T-I-IS (Album Version),1992,,
Amorphis,332.06812,Karelian Isthmus,progressive metal,The Lost Name of God,1992,,
Wesley Tuttle,175.22893,Fireball Mail - Country,western swing,With Tears In My Eyes,1992,,
Heavenly,234.60526,Le Jardin De Heavenly,power metal,Smile,1992,,
The Black Crowes,348.89098,The Southern Harmony And Musical Companion,blues-rock,Sting Me,1992,,
Kathy Mattea,250.33098,The Ultimate Collection,bluegrass,Standing Knee Deep In a River (Dying Of Thirst),1992,,
France D' Amour,232202,Le PrA(c)sent,dance rock,Ailleurs,1992,,
Walter Trout,100.23138,Live,blues-rock,Earrings on the Table,1992,,
Cocoa Tea,228.96281,Kingston Hot,dancehall,100%,1992,,
Cocoa Tea,241.29261,Authorized,dancehall,Cooling Out,1992,,
FU-Schnickens,276.94975,Greatest Hits,comedy rap,Heavenly Father,1992,,
U2,406.85669,Live From Paris,dance rock,40,1992,,
Helmet,257.54077,Unsung: The Best Of Helmet 1991-1997,rapcore,Give It,1992,,
NOFX,144.50893,White Trash ......,punk,Stickin In My Eye,1992,,
FU-Schnickens,237.92281,Greatest Hits,comedy rap,True Fuschnick,1992,,
Al DiMeola,319.84281,The Best of Al DiMeola: The Manhattan Years,latin jazz,July,1992,,
CMW - Compton's Most Wanted,217.62567,Music To Driveby,gangster rap,This Is A Gang,1992,,
Rita Chiarelli,252682,Road Rockets,blues,This Is My Life,1992,,
Aerosmith,318.61506,Young Lust: The Aerosmith Anthology,blues-rock,Crazy,1993,,
Tito Puente,178.46812,Mamborama,salsa,Mambo Suavecito,1993,,
Eberhard Weber,279.06567,Pendulum,free jazz,Unfinished Self-Portrait,1993,,
Love Jones,182.72608,Here's To The Losers,bossa nova,I Like Young Girls,1993,,
Erick Sermon,198.63465,No Pressure,hip hop,Erick Sermon,1993,,
William Orbit,339.80036,Strange Cargo III,progressive house,Deus Ex Machina,1993,,
Tha Alkaholiks,217.36444,21 & Over,hip hop,Only When I'm Drunk,1993,,
RUN-DMC,216.65914,Down With The King,hip hop,Can I Get A Witness,1993,,
The Pharcyde,303.46404,Bizarre Ride II,rap,Passin' Me By,1993,,
Elmore James,57.39057,Dark And Dreary,chicago blues,Strange Kinda Feeling (Take 4),1993,,
Radiohead,250.8273,Pablo Honey (Collector's Edition),british pop,Stop Whispering (US Version),1993,,
Naughty By Nature,216.60689,19 Naughty III,gangster rap,The Hood Comes First (LP Version),1993,,
Kitaro,43.51955,Heaven & Earth,chill-out,Trong Com,1993,,
Erick Sermon,235.51955,No Pressure,hip hop,Stay Real,1993,,
Eric Champion,310.77832,Save The World,ccm,Why Do We Do?,1993,,
S.U.P,274.54649,The Cube 1998,doom metal,4tx.31b,1993,,
Phil Collins,343.43138,Both Sides,soft rock,Everyday,1993,,
Buju Banton,256.78322,Voice Of Jamaica,roots reggae,Searching,1993,,
Jesus Jones,203.65016,Perverse,dance rock,Yellow Brown,1993,,
Carl Smith,136.04526,Honky Tonk Rockabillies_ Volume 1,honky tonk,Hey Joe,1993,,
Isabel Pantoja,317.36118,De Nadie,flamenco,Porque Me Gusta A Morir,1993,,
Janet Jackson,10.34404,Janet,dance pop,Hold On Baby,1993,,
Slim Harpo,153.67791,The Excello Singles Anthology,harmonica blues,I Love The Life I'm Living,1993,,
Erick Sermon,223.4771,No Pressure,hip hop,Safe Sex,1993,,
Paul Rogers,265.01179,LIVE IN GLASGOW,blues-rock,The Hunter,1993,,
Hall & Oates,158.40608,Angelina & Other Favorites (Digitally Remastered),pop rock,Perkiomen,1993,,
Mudhoney,217.5473,Five Dollar Bob's Mock Cooter Stew,grunge,Between Me & You Kid (Album Version),1993,,
Love Jones,384.13016,Here's To The Losers,bossa nova,Matter Of Fact,1993,,
Kaija Koo,240.45669,Tuulten viemA$?A$? 1994 Juhlapainos,humppa,Tule lA$?hemmA$?s Beibi,1993,,
Toni Braxton,267.2322,Toni Braxton,dance pop,Best Friend,1993,,
Bill Douglas,273.97179,Kaleidoscope,chamber jazz,Sapphire,1993,,
Rodney O & Joe Cooley,217.41669,Greatest Hits,miami bass,U Don't Hear Me Tho' (Street Mix),1993,,
Radiohead,188.31628,Pablo Honey (Collector's Edition),british pop,Vegetable (Live),1993,,
Extrabreit,248.86812,Das letzte Gefecht/Live,new wave,FA1/4r mich soll's rote Rosen regnen,1993,,
Max Steiner,145.84118,King Kong,soundtrack,The Scarifice Ceremony,1993,,
Vilma Palma e Vampiros,210.05016,Lo Mejor De Vilma Palma,cumbia,Te quiero tanto,1993,,
U.K. Subs,241.99791,Normal Service Resumed,oi,Warhead (Live in Croatia_ 1993),1993,,
AI-TIEM,200.48934,Wenn hier einer schieAt_ dann bin ich das,jungle music,Kleina Wixa,1993,,
Glad,174.52363,Acapella Hymns,ccm,Immortal_ Invisible,1993,,
Michael Gettel,272.22159,The Key,chamber jazz,Turning Of A Key,1993,,
Tam Tam Go!,231.60118,The Platinum Collection,pop rock,En La Tierra Caliente,1993,,
Arthur Tracy,180.32281,Street Singer,vaudeville,Red Sails In The Sunset,1993,,
Tito Puente,180.00934,Mamborama,salsa,Mambo Tipico,1993,,
D.R.S.,237.16526,Gangsta Lean,rap,Gangsta Lean (Gangstapella),1993,,
5th Ward Boyz,246.07302,Ghetto Dope,hip hop,Undercover Gangstas,1993,,
Jackie Wilson,182.49098,Reet Petite,chicago soul,One Moment With You,1993,,
Kenny Rogers,167.00036,Country Superstar,country rock,Reuben James,1993,,
AI-TIEM,323.3171,Wenn hier einer schieAt_ dann bin ich das,jungle music,All das mag ich,1993,,
Grant Geissman,307.40853,Rustic Technology,smooth jazz,Chaco (Album Version),1993,,
Lords Of The Underground,264.69832,Here Come the Lords,hip hop,Check It (Explicit),1993,,
Janitor Joe,122.72281,Big Metal Birds,math rock,Voucher,1993,,
Randy Travis,198.76526,Wind In The Wire,country gospel,Down At The Old Corral (Album Version),1993,,
Arthur Tracy,173.89669,Street Singer,vaudeville,A Sailboat In The Moonlight,1993,,
The Clancy Brothers,113.78893,IRISH DRINKING SONGS,irish folk,Water Is Alright In Tay,1993,,
Randy Travis,211.40853,Wind In The Wire,country gospel,Wind In The Wire (Album Version),1993,,
Bob Willis,146.72934,Texas Swingtime,western swing,Ida Red,1993,,
Regina Belle,307.33016,Passion,vocal jazz,Quiet Time,1993,,
Janet Jackson,227082,Janet,dance pop,Again,1993,,
Captain Hollywood Project,372.27057,All I Want,dance pop,All I Want,1993,,
Rick Astley,215.09179,Body And Soul,dance pop,Hopelessly,1993,,
Sleepy John Estes,197.0673,Mississippi Delta Blues Jam In Memphis,country blues,Need More Blues,1993,,
Devo,175.25506,Q: Are We Not Men?  A: We Are Devo / Devo Live,rock,Be Stiff (Live),1993,,
Tam Tam Go!,190.04036,The Platinum Collection,pop rock,Belleza Pasajera,1993,,
Beherit,185.05098,Drawing Down the Moon,illbient,Werewolf_ Semen And Blood,1993,,
K.T. Oslin,229.45914,RCA Country Legends,country rock,Come Next Monday,1993,,
Grant Geissman,349.23057,Rustic Technology,smooth jazz,Silent Movies (Album Version),1993,,
Erick Sermon,34.08934,No Pressure,hip hop,Intro,1993,,
Dolores Keane,272.5873,Celtic Woman 3,irish folk,Storm In My Heart,1993,,
Glad,270602,Simply Glad,ccm,Blessed Assurance,1993,,
Dolores Keane,229.92934,Solid Ground,irish folk,Telling Me Lies,1993,,
Margaret Becker,242.12853,Coram Deo II: People Of Praise,ccm,Sweet Suffering Christ,1993,,
ARRESTED DEVELOPMENT,273.84118,Unplugged,hip hop,Raining Revolution (Live) (Unplugged),1993,,
Regina Belle,307.22567,Love Songs,vocal jazz,Quiet Time,1993,,
Malkit Singh,354.66404,Hai Shava,broken beat,Dhol Ton Bina,1993,,
Los Del Rio,251.21914,Party Time,dance pop,Macarena,1993,,
Disembowelment,460.56444,Transcendence into the peripheral,doom metal,Your Prophetic Throne Of Ivory,1993,,
The Smashing Pumpkins,246.93506,Siamese Dream,alternative rock,Rocket,1993,,
Los Del Rio,249.49506,Fiesta Macarena,dance pop,Macarena,1993,,
Mary Black,245.73342,Best of 1991-2001 Hidden Harvest,country rock,Flesh And Blood,1993,,
Beherit,202.91873,Drawing Down the Moon,illbient,Lord of Shadows and Golden Wood,1993,,
